연도,구분,해킹,서비스거부공격,악성프로그램,기타 정보통신망 침해형 범죄,인터넷사기,사이버금융범죄,개인위치정보 침해,사이버저작권침해,기타 정보통신망 이용형 범죄,사이버 성폭력,사이버 도박,사이버 명예훼손 및 모욕,기타 불법 콘텐츠
2021,발생건수,139,1,6,63,8477,1620,17,258,144,355,256,1759,10
2021,검거건수,24,1,0,8,6220,332,5,138,53,306,218,1112,5
2021,검거인원,28,1,0,10,1626,296,5,237,52,154,207,1427,7
2020,발생건수,194,0,5,62,8314,873,12,229,160,375,345,1386,14
2020,검거건수,35,0,2,23,6340,188,1,144,100,309,327,867,11
2020,검거인원,36,0,3,20,1879,212,1,239,112,329,373,1210,8
2019,발생건수,112,1,4,28,7785,415,5,233,143,119,131,1119,16
2019,검거건수,29,1,0,9,6391,121,3,124,91,110,124,752,10
2019,검거인원,33,1,0,10,1767,174,5,231,90,121,150,1036,14
2018,발생건수,78,0,4,18,5498,295,10,432,224,192,82,913,9
2018,검거건수,36,0,0,5,3979,126,5,276,151,167,75,639,7
2018,검거인원,39,0,1,5,1550,142,4,291,113,188,148,860,10
2017,발생건수,87,2,3,14,4956,416,94,494,136,48,117,782,2
2017,검거건수,32,1,2,8,4300,180,89,353,81,31,111,588,2
2017,검거인원,27,1,5,9,1391,193,12,436,89,31,175,839,2
